Category,Entity,Question,Answer
cricket_team,New_Zealand_national_cricket_team,What is the ratio of wins to losses for the New Zealand national cricket team in the t20i format for 2019?(Answer in decimal form.),1.75
cricket_team,United_States_national_cricket_team,Name the person(s) who served as the coach when Saurabh Netravalkar was the od captain of the United States national cricket team.,"Kiran More, Pubudu Dassanayake, James Pamment"
cricket_team,United_States_national_cricket_team,Name the person(s) who served as the coach when Saurabh Netravalkar was the t20i captain of the United States national cricket team.,"Kiran More, Pubudu Dassanayake, James Pamment"
cricket_team,United_States_national_cricket_team,Name the person(s) who served as the od captain when Pubudu Dassanayake was the coach of the United States national cricket team.,Saurabh Netravalkar
cricket_team,United_States_national_cricket_team,Name the person(s) who served as the t20i captain when James Pamment was the coach of the United States national cricket team.,Saurabh Netravalkar
cricket_team,United_States_national_cricket_team,Was the United States national cricket team's win percentage the highest in the t20i format in either 2019 or 2022?(Answer in year)(Include no results/ties/draws in total number of matches.),2022
cricket_team,United_States_national_cricket_team,In which year did Kevin Darlington (interim) first assume the role of coach for the United States national cricket team?,2023
cricket_team,United_States_national_cricket_team,"What was the duration of Saurabh Netravalkar's tenure as the od captain of United States national cricket team? (answer in number of days)(Assume that tenure for a position starts when the person first in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",976 days
cricket_team,United_States_national_cricket_team,"Which person had the shortest tenure as the od captain of the United States national cricket team?(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",Monank Patel
cricket_team,United_States_national_cricket_team,"Which person had the longest tenure as the od captain of the United States national cricket team?(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",Saurabh Netravalkar
cricket_team,United_States_national_cricket_team,How many individuals took on the role of t20i captain of the United States national cricket team?,2
cricket_team,United_States_national_cricket_team,How many people served as the od captain of the United States national cricket team?,2
cricket_team,United_States_national_cricket_team,Who served as the od captain of the United States national cricket team prior to Monank Patel?,Saurabh Netravalkar
cricket_team,United_States_national_cricket_team,Who was the od captain of United States national cricket team after Saurabh Netravalkar?,Monank Patel
cricket_team,United_States_national_cricket_team,What was the highest ranking achieved by the United States national cricket team in the t20i format in 2023?,25
cricket_team,United_States_national_cricket_team,What was the highest ranking achieved by the United States national cricket team in the odi format in 2023?,18
cricket_team,United_States_national_cricket_team,What is the ratio of wins to losses for the United States national cricket team in the t20i format for 2019?(Answer in decimal form.),0.4
cricket_team,Australia_national_cricket_team,Who were the individual(s) serving as the test captain during the tenure of Aaron Finch as the t20i captain of the Australia national cricket team?,"Pat Cummins, Tim Paine"
cricket_team,Australia_national_cricket_team,Name the person(s) who served as the coach when Pat Cummins was the test captain of the Australia national cricket team.,"Andrew McDonald (cricketer), Justin Langer"
cricket_team,Australia_national_cricket_team,Who were the individual(s) serving as the test captain during the tenure of Andrew McDonald (cricketer) as the coach of the Australia national cricket team?,Pat Cummins
cricket_team,Australia_national_cricket_team,Who were the individual(s) serving as the t20i captain during the tenure of Tim Paine as the test captain of the Australia national cricket team?,Aaron Finch
cricket_team,Australia_national_cricket_team,Was the Australia national cricket team's win percentage the highest in the t20i format in either 2019 or 2021?(Answer in year)(Include no results/ties/draws in total number of matches.),2019
cricket_team,Australia_national_cricket_team,Who was the test captain when t20i captain was Aaron Finch and coach was Justin Langer of the Australia national cricket team?,"Pat Cummins, Tim Paine"
cricket_team,Australia_national_cricket_team,"Name the person(s) who served as the od captain during the tenure of Tim Paine and Justin Langer as the test captain and coach, respectively, of the Australia national cricket team.",Aaron Finch
cricket_team,Australia_national_cricket_team,Who was the test captain when t20i captain was Aaron Finch and coach was Andrew McDonald (cricketer) of the Australia national cricket team?,Pat Cummins
cricket_team,Australia_national_cricket_team,In which year did Pat Cummins become the test_captain of the Australia national cricket team for the first time?,2022
cricket_team,Australia_national_cricket_team,"What was the duration of Pat Cummins's tenure as the test captain of Australia national cricket team? (answer in number of days)(Assume that tenure for a position starts when the person first in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",438 days
cricket_team,Australia_national_cricket_team,"Which person had the shortest tenure as the t20i captain of the Australia national cricket team?(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",Pat Cummins
cricket_team,Australia_national_cricket_team,"Which person had the shortest tenure as the od captain of the Australia national cricket team?(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",Pat Cummins
cricket_team,Australia_national_cricket_team,How many individuals took on the role of od captain of the Australia national cricket team?,2
cricket_team,Australia_national_cricket_team,Who served as the t20i captain of the Australia national cricket team prior to Pat Cummins?,Aaron Finch
cricket_team,Australia_national_cricket_team,Who served as the od captain of the Australia national cricket team prior to Pat Cummins?,Aaron Finch
cricket_team,Australia_national_cricket_team,Who assumed the role of t20i captain for the Australia national cricket team following Aaron Finch?,Pat Cummins
cricket_team,Australia_national_cricket_team,How many t20 matches did the Australia national cricket team play between 2020 and 2022? (including both the years),52
cricket_team,Australia_national_cricket_team,How many t20 matches did the Australia national cricket team play between 2021 and 2022? (including both the years),43
cricket_team,Australia_national_cricket_team,Name the people who serve as od_captain of Australia national cricket team between 2020 and 2022. (including both the years),"Pat Cummins, Aaron Finch"
cricket_team,Australia_national_cricket_team,Who were the individual(s) who held the position of the t20i_captain for the Australia national cricket team from 2020 and 2022? (including both the years),Aaron Finch
cricket_team,Australia_national_cricket_team,Who were the individual(s) who acted as the coach of the Australia national cricket team in 2020?,Justin Langer
cricket_team,Australia_national_cricket_team,Who were the individual(s) who acted as the coach of the Australia national cricket team in 2023?,Andrew McDonald (cricketer)
cricket_team,Australia_national_cricket_team,What was the highest ranking achieved by the Australia national cricket team in the t20i format in 2021?,2
cricket_team,Australia_national_cricket_team,What is the win to loss ratio of Australia national cricket team in t20i format in 2020?(Answer in decimal form.),0.8
cricket_team,Australia_national_cricket_team,What is the ratio of wins to losses for the Australia national cricket team in the odi format for 2020?(Answer in decimal form.),0.86
cricket_team,Vanuatu_national_cricket_team,Name the person(s) who served as the coach when Andrew Mansale was the t20i captain of the Vanuatu national cricket team.,"Peter Buchanan (cricketer), Clint McKay"
cricket_team,Vanuatu_national_cricket_team,Who were the individual(s) serving as the t20i captain during the tenure of Peter Buchanan (cricketer) as the coach of the Vanuatu national cricket team?,Andrew Mansale
cricket_team,Vanuatu_national_cricket_team,Name the person(s) who served as the t20i captain when Jeremy Bray (cricketer) was the coach of the Vanuatu national cricket team.,Patrick Matautaava
cricket_team,Vanuatu_national_cricket_team,Was the Vanuatu national cricket team's win percentage the highest in the t20i format in either 2019 or 2023?(Answer in year)(Include no results/ties/draws in total number of matches.),2023
cricket_team,Vanuatu_national_cricket_team,"How long did Jeremy Bray (cricketer) serve as the coach of Vanuatu national cricket team? (answer in number of days)(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",363 days
cricket_team,Vanuatu_national_cricket_team,"What was the duration of Clint McKay's tenure as the coach of Vanuatu national cricket team? (answer in number of days)(Assume that tenure for a position starts when the person first in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",1191 days
cricket_team,Vanuatu_national_cricket_team,"Which person had the longest tenure as the coach of the Vanuatu national cricket team?(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",Clint McKay
cricket_team,Vanuatu_national_cricket_team,"Which person had the shortest tenure as the t20i captain of the Vanuatu national cricket team?(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",Patrick Matautaava
cricket_team,Vanuatu_national_cricket_team,How many individuals took on the role of coach of the Vanuatu national cricket team?,3
cricket_team,Vanuatu_national_cricket_team,Who was the t20i captain of the Vanuatu national cricket team before Patrick Matautaava?,Andrew Mansale
cricket_team,Vanuatu_national_cricket_team,Who was the coach of the Vanuatu national cricket team before Jeremy Bray (cricketer)?,Clint McKay
cricket_team,Vanuatu_national_cricket_team,Who was the coach of Vanuatu national cricket team after Peter Buchanan (cricketer)?,Clint McKay
cricket_team,Vanuatu_national_cricket_team,Who was the coach of Vanuatu national cricket team after Clint McKay?,Jeremy Bray (cricketer)
cricket_team,Vanuatu_national_cricket_team,What is the win to loss ratio of Vanuatu national cricket team in t20i format in 2019?(Answer in decimal form.),0.56
cricket_team,Cayman_Islands_national_cricket_team,Who were the individual(s) serving as the t20i captain during the tenure of Steve Gordon (cricketer) as the coach of the Cayman Islands national cricket team?,Ramon Sealy
cricket_team,Cayman_Islands_national_cricket_team,Does the Cayman Islands national cricket team have the best win percentage in the t20i format in 2019 or 2022?(Answer in year)(Include no results/ties/draws in total number of matches.),2022
cricket_team,Cayman_Islands_national_cricket_team,In which year did Steve Gordon (cricketer) first assume the role of coach for the Cayman Islands national cricket team?,2023
cricket_team,Cayman_Islands_national_cricket_team,"How long did Ramon Sealy serve as the t20i captain of Cayman Islands national cricket team? (answer in number of days)(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",365 days
cricket_team,Cayman_Islands_national_cricket_team,"What was the duration of Alessandro Morris's tenure as the t20i captain of Cayman Islands national cricket team? (answer in number of days)(Assume that tenure for a position starts when the person first in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",1224 days
cricket_team,Cayman_Islands_national_cricket_team,"Who had the shortest stint as the t20i captain of the Cayman Islands national cricket team?(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",Ramon Sealy
cricket_team,Cayman_Islands_national_cricket_team,How many individuals took on the role of t20i captain of the Cayman Islands national cricket team?,2
cricket_team,Cayman_Islands_national_cricket_team,Who served as the t20i captain of the Cayman Islands national cricket team prior to Ramon Sealy?,Alessandro Morris
cricket_team,Cayman_Islands_national_cricket_team,Who was the t20i captain of Cayman Islands national cricket team after Alessandro Morris?,Ramon Sealy
cricket_team,Cayman_Islands_national_cricket_team,what was the best t20i rank of the Cayman Islands national cricket team in 2023?,39
cricket_team,Cayman_Islands_national_cricket_team,What is the win to loss ratio of Cayman Islands national cricket team in t20i format in 2023?(Answer in decimal form.),1
cricket_team,Oman_national_cricket_team,Name the person(s) who served as the od captain when Duleep Mendis was the coach of the Oman national cricket team.,Zeeshan Maqsood
cricket_team,Oman_national_cricket_team,Who were the individual(s) serving as the coach during the tenure of Zeeshan Maqsood as the od captain of the Oman national cricket team?,Duleep Mendis
cricket_team,Oman_national_cricket_team,Was the Oman national cricket team's win percentage the highest in the t20i format in either 2020 or 2021?(Answer in year)(Include no results/ties/draws in total number of matches.),2020
cricket_team,Oman_national_cricket_team,Was the Oman national cricket team's win percentage the highest in the odi format in either 2020 or 2021?(Answer in year)(Include no results/ties/draws in total number of matches.),2020
cricket_team,Oman_national_cricket_team,In which year did Duleep Mendis become the coach of the Oman national cricket team for the first time?,2022
cricket_team,Oman_national_cricket_team,"What was the duration of Ajay Lalcheta's tenure as the t20i captain of Oman national cricket team? (answer in number of days)(Assume that tenure for a position starts when the person first in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",205 days
cricket_team,Oman_national_cricket_team,"Who had the longest stint as the t20i captain of the Oman national cricket team?(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",Zeeshan Maqsood
cricket_team,Oman_national_cricket_team,How many people served as the t20i captain of the Oman national cricket team?,2
cricket_team,Oman_national_cricket_team,Who was the t20i captain of the Oman national cricket team before Zeeshan Maqsood?,Ajay Lalcheta
cricket_team,Oman_national_cricket_team,Who was the t20i captain of the Oman national cricket team before Ajay Lalcheta?,Zeeshan Maqsood
cricket_team,Oman_national_cricket_team,Who was the t20i captain of Oman national cricket team after Zeeshan Maqsood?,Ajay Lalcheta
cricket_team,Oman_national_cricket_team,How many odi matches did the Oman national cricket team play between 2020 and 2022? (including both the years),32
cricket_team,Oman_national_cricket_team,How many odi matches did the Oman national cricket team play between 2020 and 2023? (including both the years),37
cricket_team,Oman_national_cricket_team,Who were the individual(s) who held the position of the t20i_captain for the Oman national cricket team from 2019 and 2020? (including both the years),"Zeeshan Maqsood, Ajay Lalcheta"
cricket_team,Oman_national_cricket_team,Who were the individual(s) who acted as the coach of the Oman national cricket team in 2023?,Duleep Mendis
cricket_team,Oman_national_cricket_team,what was the best odi rank of the Oman national cricket team in 2020?,14
cricket_team,Oman_national_cricket_team,What is the win to loss ratio of Oman national cricket team in t20i format in 2020?(Answer in decimal form.),2
cricket_team,Oman_national_cricket_team,What is the ratio of wins to losses for the Oman national cricket team in the odi format for 2022?(Answer in decimal form.),0.88
cricket_team,India_national_cricket_team,Name the person(s) who served as the coach when Virat Kohli was the test captain of the India national cricket team.,"Rahul Dravid, Ravi Shastri"
cricket_team,India_national_cricket_team,Who were the individual(s) serving as the test captain during the tenure of Rahul Dravid as the coach of the India national cricket team?,"Virat Kohli, Rohit Sharma"
cricket_team,India_national_cricket_team,Name the person(s) who served as the t20i captain when Ramakrishnan Sridhar was the fielding coach of the India national cricket team.,Virat Kohli
cricket_team,India_national_cricket_team,Name the person(s) who served as the od captain when Bharat Arun was the bowling coach of the India national cricket team.,Virat Kohli
cricket_team,India_national_cricket_team,Does the India national cricket team have the best win percentage in the odi format in 2019 or 2021?(Answer in year)(Include no results/ties/draws in total number of matches.),2021
cricket_team,India_national_cricket_team,Was the India national cricket team's win percentage the highest in the test format in either 2019 or 2021?(Answer in year)(Include no results/ties/draws in total number of matches.),2019
cricket_team,India_national_cricket_team,"Name the person(s) who served as the t20i captain during the tenure of Ravi Shastri and Bharat Arun as the coach and bowling coach, respectively, of the India national cricket team.",Virat Kohli
cricket_team,India_national_cricket_team,Who was the test captain when coach was Ravi Shastri and bowling coach was Bharat Arun of the India national cricket team?,Virat Kohli
cricket_team,India_national_cricket_team,"What was the duration of Virat Kohli's tenure as the test captain of India national cricket team? (answer in number of days)(Assume that tenure for a position starts when the person first in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",1478 days
cricket_team,India_national_cricket_team,"What was the duration of Rohit Sharma's tenure as the test captain of India national cricket team? (answer in number of days)(Assume that tenure for a position starts when the person first in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",133 days
cricket_team,India_national_cricket_team,"Who had the shortest stint as the test captain of the India national cricket team?(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",Rohit Sharma
cricket_team,India_national_cricket_team,"Who had the longest stint as the test captain of the India national cricket team?(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",Virat Kohli
cricket_team,India_national_cricket_team,How many individuals took on the role of t20i captain of the India national cricket team?,2
cricket_team,India_national_cricket_team,How many people served as the od captain of the India national cricket team?,2
cricket_team,India_national_cricket_team,Who was the t20i captain of the India national cricket team before Rohit Sharma?,Virat Kohli
cricket_team,India_national_cricket_team,Who was the od captain of India national cricket team after Virat Kohli?,Rohit Sharma
cricket_team,India_national_cricket_team,What is the win to loss ratio of India national cricket team in t20i format in 2019?(Answer in decimal form.),1.29
cricket_team,West_Indies_cricket_team,Who were the individual(s) serving as the coach during the tenure of Jason Holder as the t20i captain of the West Indies cricket team?,"Richard Pybus, Floyd Reifer"
cricket_team,West_Indies_cricket_team,Who were the individual(s) serving as the coach during the tenure of Jason Holder as the od captain of the West Indies cricket team?,"Stuart Law, Richard Pybus, Nic Pothas, Floyd Reifer"
cricket_team,West_Indies_cricket_team,Name the person(s) who served as the od captain when Nic Pothas was the coach of the West Indies cricket team.,Jason Holder
cricket_team,West_Indies_cricket_team,Was the West Indies cricket team's win percentage the highest in the odi format in either 2018 or 2020?(Answer in year)(Include no results/ties/draws in total number of matches.),2020
cricket_team,West_Indies_cricket_team,"Name the person(s) who served as the t20i captain during the tenure of Jason Holder and Stuart Law as the od captain and coach, respectively, of the West Indies cricket team.","Jason Mohammed, Carlos Brathwaite"
cricket_team,West_Indies_cricket_team,"Name the person(s) who served as the test captain during the tenure of Jason Mohammed and Stuart Law as the t20i captain and coach, respectively, of the West Indies cricket team.",Jason Holder
cricket_team,West_Indies_cricket_team,In which year did Nic Pothas become the coach of the West Indies cricket team for the first time?,2018
cricket_team,West_Indies_cricket_team,In which year did Kieron Pollard become the t20i_captain of the West Indies cricket team for the first time?,2019
cricket_team,West_Indies_cricket_team,"How long did Phil Simmons serve as the coach of West Indies cricket team? (answer in number of days)(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",1102 days
cricket_team,West_Indies_cricket_team,"How long did Jason Holder serve as the t20i captain of West Indies cricket team? (answer in number of days)(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",267 days
cricket_team,West_Indies_cricket_team,"Who had the longest stint as the t20i captain of the West Indies cricket team?(Assume that tenure for a position starts when the person appears in the timeline in that role and ends when either the timeline ends, or someone else replaces him.)",Kieron Pollard
cricket_team,West_Indies_cricket_team,How many individuals took on the role of test captain of the West Indies cricket team?,2
cricket_team,West_Indies_cricket_team,How many people served as the t20i captain of the West Indies cricket team?,5
cricket_team,West_Indies_cricket_team,Who served as the t20i captain of the West Indies cricket team prior to Jason Holder?,Carlos Brathwaite
cricket_team,West_Indies_cricket_team,Who was the coach of the West Indies cricket team before Andre Coley?,Phil Simmons
cricket_team,West_Indies_cricket_team,Who was the coach of West Indies cricket team after Stuart Law?,Nic Pothas
cricket_team,West_Indies_cricket_team,How many test matches did the West Indies cricket team play between 2019 and 2020? (including both the years),11
cricket_team,West_Indies_cricket_team,How many t20 matches did the West Indies cricket team play between 2018 and 2019? (including both the years),28
cricket_team,West_Indies_cricket_team,Who were the individual(s) who held the position of the test_captain for the West Indies cricket team from 2019 and 2020? (including both the years),Jason Holder
cricket_team,West_Indies_cricket_team,Who were the individual(s) who acted as the coach of the West Indies cricket team in 2018?,"Stuart Law, Nic Pothas"
cricket_team,West_Indies_cricket_team,Name the person(s) who served as the coach of the West Indies cricket team in 2020.,Phil Simmons
cricket_team,West_Indies_cricket_team,what was the best t20i rank of the West Indies cricket team in 2021?,8
cricket_team,West_Indies_cricket_team,What was the highest ranking achieved by the West Indies cricket team in the t20i format in 2020?,10
cricket_team,West_Indies_cricket_team,What is the ratio of wins to losses for the West Indies cricket team in the test format for 2017?(Answer in decimal form.),0.5
cricket_team,West_Indies_cricket_team,What is the ratio of wins to losses for the West Indies cricket team in the odi format for 2017?(Answer in decimal form.),0.23
